date,id,title,label,opportunity,source,author,description,content,link,nurl
2005-11-15,a269980,Cash outflow hits Schroders,Drop in AUM,Displacement opportunity,CityWire,Douglas Bence,A 68% increase in asset management business has driven third quarter profits at Schroders.,"A 68% increase in asset management business has driven third quarter profits at Schroders.
But although growth in the three months to 30 September continued at the rate established over the last three years, profits before tax for the quarter at PS63.6 million are weaker than last year's PS86.5 million because of a one-off gain of PS47.8 million in 2004 from the sale of an unidentified private equity investment in the US.
Although Schroders (SDR) won't spell out the details, chief executive Michael Dobson said it was one of the few successful investments made in the dotcom era.
Profit before tax for the first nine months of the year was PS187.1 million against PS159.1 million. If allowance is made for a PS20.4 million gain from a discontinued outsourcing contract, the profits come down to PS166.7 million.
Asset Management revenues for the quarter were PS141.2 million against PS103.9 million. Costs were up to PS95.1 million from PS76.4 million, while profit was PS46.1 million against PS27.5 million, around 10% higher than the market estimated.
This is a result of what Dobson called a 'good tail wind on equities' and improvements in group revenue and operating margins which rose to 32.6% in the third quarter from 31.4% in the first half.
'The core business is playing a key role in driving the profitability of the group, as it should' he said. The core fund management division accounted for 78% of underlying group profits over the nine months against 51% in the same 2004 period.
Private banking revenue for the quarter was PS17 million against PS16.3 million. Costs increased from PS13.8 million to PS15.5 million while profit fell PS1 million to PS1.5 million.
Group funds under management rose 5.5% in the three months to PS118.3 billion, in line with Citigroup's forecast. There was a net business outflow of PS2.1 billion, PS1.2 billion on the institutional side and PS900 million from fund manager changes.
Although both Citigroup and Merrill Lynch said the third quarter results were better than expected - Citigroup was expecting PS42 million and Merrill 46.4 million - the market otherwise saw the outflow as both disappointing and larger than expected and this accounts for the 13.5p fall in Schroders' shares to 879p.
Schroders is still looking for acquisitions. These could be in the US, but Dobson wouldn't say if there were any imminent deals although he did say that there are currently 'more opportunities around than we have seen in the past'.
Numis analyst Stuart Duncan is upgrading his forecasts for 2005 and 2006 by 12% and 11% respectively. He expects profit before tax for 2005 PS215.8 million and PS229.4 million in 2006 and upgrades the shares from 'hold' to 'add'. Citigroup retains its 'buy' recommendation while Merrill Lynch is 'neutral'.Although Dobson is keen that pundits do not underestimate the importance of Schroders' investment strategy, the key to the shares is the higher margins coming from the growth funds. This is a result of the group's determination to grow its top line. The shares have outperformed the market over 12 months rising from 681p. A good share to buy for the medium term particularly if today's weakness prevails.",https://citywire.com/funds-insider/news/cash-outflow-hits-schroders/a269980,1
2006-02-20,a271779,JO Hambro to launch new European fund after soft closures,Liquidation of a fund,Displacement opportunity,CityWire,Dylan Lobo,JO Hambro plans to unleash a new continental European product after soft closing its Dublin-based European and Continental European funds to new investors.,"JO Hambro plans to unleash a new continental European product after soft closing its Dublin-based European and Continental European funds to new investors.
The new JOHCM Continental Select Values fund will be managed by Willem Vinke, who currently manages the firm's PS97 million JOHCM European Select Values fund, which is also domiciled in Dublin.
The group was unable to provide any more comment on the vehicle and said further details would be announced in early March.
The move to soft close the funds was in line with the group's previously stated policy that it will cap funds in order to protect the managers' ability to achieve consistent outperformance.
Rod Marsden, who jointly runs the fund with Paul Wild, feels that export strength, government spending and an improvement in the consumer environment will continue to support Europe this year.
According to Lipper, JOHCM Continental European fund has returned 80.2% since its launch in November 2001 versus a 41.4% gain in its FTSE Eurofirst 300 ex-UK benchmark.
Meanwhile, the JOHCM European fund has returned 82.6% since its launch in May 2003.
The group will soft close the funds by exploiting Dublin legislation, which effectively allows the directors to use their discretion to turn away new business.
The combined target of the funds is PS500 million. The total currently stands at PS470 million and existing investors will be able to trade as normal in the fund until it reaches the target. After that existing investors will be restricted to trades of PS25,000 a day.
Richard Meyrick, sales director at JO Hambro, explained: 'In long periods of outperformance more money follows the fund managers and they have to change their investment style as a result. Soft closing the fund should give the managers every chance of outperforming.'
He also pointed out that the fund managers have further incentive to do well as they get a 15 basis points performance fee for every 1% of outperformance.
JO Hambro soft closed its JOHCM Japan fund, run by Scott McGlashan, last year after assets in the vehicle soared to PS250 million in just 11 months after launch.
The group has also stated it will cap Clive Beagles' JOHCM UK Equity Income fund, which currently holds PS250 million, when it hits its target of PS750 million.",https://citywire.com/funds-insider/news/jo-hambro-to-launch-new-european-fund-after-soft-closures/a271779,0
2011-04-26,a488160,Hugh Young 'relaxed' about underperformance,Sustained underperformance,Displacement opportunity,CityWire,Philip Haddon,Veteran Aberdeen Asia Pacific fund manager Hugh Young thinks a slowdown in the region is 'healthy' and is not concerned by his recent underperformance.,"Hugh Young of Aberdeen thinks a slowdown in Asian growth is healthy and is not concerned by his recent underperformance.
Young, who is head of global equities and managing director of Aberdeen's Asian business, says he is relaxed about underperforming in the past six months and puts it down, on the country side, to India underperforming the likes of Australia.
'We have given back a chunk of the last year's outperformance, it has been a weak six months in total now but I am relaxed,' the respected manager of the Aberdeen Asia Pacific Equity fund said. 'We do expect periods of underperformance, it is nothing dramatic. Our one year performance is still strong.'
Indeed, in the past six months the widely-followed Aberdeen Global - Asia Pacific Equity fund has returned 4.3% while the MSCI Asia Pacific ex Japan index has risen 9.8% in dollar terms. However, over one year the fund has delivered 19.8% while the index has risen 18.4%.
Speaking from his Singapore base, Young - who was recently profiled in Citywire Global magazine - said country allocation contributed to his funds' recent performance drag.
'Places like India, where we are heavy in, have underperformed. The same goes for Singapore, while the likes of Australia have done well,' he said, adding that some long-held stock favourites such as Jardine Strategic Holdings have also disappointed.
There have been few changes overall to Young's portfolio in recent months, with the biggest change being the purchase of a stock he has not held in ten years: HSBC. 'There is evidence of change within HSBC, it is going back to its Asian roots, and it has an exceptionally strong business here. It's done the tidying up from some ill-advised acquisitions, and we have a 1.5% position with it now in the fund.'
Looking at valuations in the region, Young does not think they are excessively high.
'I don't think valuations are stretched. Historic P/E ratios range from 9 times earnings to 20 times. We're in a no man's land at the moment. They're not stretched at around 13 times, but neither are they particularly cheap,' he said.
He understands why there has been a shift in sentiment towards the region, saying it is a 'natural reaction'.
'The reason is a concern about inflation and higher interest rates in Asia. We won't be surprised to see higher interest rates percolating through the system through the rest of the year and other tightening measures.'
However, he said the Asian slowdown is healthy and positive sentiment towards the developed world could be overdone.
'We are seeing a slowdown, I think that's quite healthy. After a strong rebound last year, earnings wont be as strong this year. We're expecting economic growth to be 1% less this year than last year. But we're not great believers in the recovery of the West story; we're a bit sceptical.'",https://citywire.com/selector/news/hugh-young-relaxed-about-underperformance/a488160,3
2011-04-27,a488963,Carmignac 'stands firm' over underperformance,Sustained underperformance,Displacement opportunity,CityWire,Atholl Simpson,The giant French group's two biggest funds have seen three quarters of underperformance but the firm says the market is finally starting to justify its stance.,"Carmignac Gestion's two largest funds, Patrimoine and Investissement, have experienced three consecutive quarters of underperformance but the firm said it would rather that than navigating 'the minefields' of investing in Europe.
Over the past nine months the Patrimoine fund has lost 3.7% while its benchmark has risen 2.1%. Over the same period the Investissement fund has returned 2.6% compared to its benchmark's rise of 12.4%.
The firm's spokesperson and investment committee member, Didier Saint-Georges, told Citywire the reason behind the funds' extended period of underperformance was the firm's stance on the equity sector in Europe and emerging markets.
However, Saint-Georges stood by the firm's decision to maintain a low equity exposure to Europe over recent months while other fund managers were moving back into the region as fears over its sovereign debt problems started to diminish.
'Our great defiance over Europe's sovereign debt problem and our belief in the positive outlook for emerging markets are convictions upon which we stand firm.
'Europe is a minefield. You can have major problems that appear in many different places, like Greece or Ireland, but at times the market can manage to navigate between them. But as a manager we have to ask ourselves if we can do the same. I prefer to underperform for a period of time than navigate this minefield and expose our funds to high risk.'
The French firm believed at the start of 2010 that Europe's sovereign debt was the main market risk for the year ahead and its two biggest funds, the EUR8 billion Carmignac Investissement run by the group's founder and star manager Edouard Carmignac and the EUR22 billion Carmignac Patrimoine run by Carmignac, Rose Ouahba and Frederic Leroux, were both positioned accordingly.
Although the group's fund managers acknowledged the inflation issue in the emerging markets was real, they believed the region's financial leaders had a firm grip on it.
'But the market did not have that feeling and felt that the EU debt was not a problem while the emerging countries were going to slow down because of the necessary tightening of their monetary policy.'
Following this period, Saint-Georges said that the market has begun turning around to the firm's global view since the end of February.
'The market is starting to realise that the big inflation scare was due mainly to food inflation and the side effects of QE2. Food inflation peaked in March and is now going down and QE2 will soon be over.
'The peak of inflation in emerging markets is taking place and in the second quarter we will have deceleration.'
Although Saint-Georges said the group stands firm on its equity convictions and its bullish stance on emerging markets, the Patrimoine and Investissement funds have changed their currency exposure in favour of the euro following its recent outperformance against the dollar.
At the end of 2010 the Patrimoine fund had just 25% exposure to the euro and 41% to the dollar, but at the end of March it had 59% in the euro and only 12.3% in the US dollar.
'At the current price, despite the problems of the euro and the region's sovereign debt, we have to recognize that the euro can still outperform the dollar,' Saint-Georges said.
'The ECB is helping to ring fence the weaker European countries while tightening its monetary policy, which justifies lowering the dollar exposure in the porfolios.
'Even if it is an economic abberation, the ECB's economic policy is a very 'euro bull' tactic but we remain very vigilant on the impact it can have on the economies of the European peripheral countries.'
Over the last five years Carmignac Patrimoine has returned 34.7% while its benchmark, LCI MSCI World Free/Citigroup WGBI TR (50:50), has risen 11% and the Carmignac Investissement fund has returned 36.3% while its benchmark, MSCI AC World, has risen 1.2%.",https://citywire.com/selector/news/carmignac-stands-firm-over-underperformance/a488963,5
2011-10-17,a533282,Bill Gross admits 'mea culpa' over Total Return underperformance,Sustained underperformance,Displacement opportunity,CityWire,Chris Sloley,Too little risk off and too much risk on' - the world's largest bond investor takes the rap for a 'bad year'.,"Veteran bond manager Bill Gross has issued a candid apology to investors for the recent underperformance of his $242 billion Pimco Total Return fund.
Publishing a special edition note, entiteld 'Mea Culpa', the bond manager confessed that he had had a 'bad year' underestimating debt difficulties in both the US and the eurozone.
Gross wrote: 'As Europe's crisis and the U.S. debt ceiling debacle turned developed economies toward a potential recession, the Total Return Fund had too little risk off and too much risk on.'
In addition, Gross also touched upon his much-publicised decision to move out of US Treasuries earlier in the year, which he said was 'a little over blown in the press'.
Gross said moves into Canadian Treasuries and German bunds had not countered being underweight in US Treasuries - which had out-performed as investors sought out safe havens.
However, Gross - who last week piled into mortgage-backed securities - said he and his team would work hard to overturn the period of poor performance.
'There is no quit in me or anyone else on the Pimco premises. The early morning and even midnight hours have gone up, not down, to match the increasing complexity of global financial markets,' said Gross.
Looking ahead, Gross said Pimco was predicting zero growth in developed economies over the next several quarters. This, he said, would be factored into the portfolio construction of the Total Return fund.
Over the year-to-date, the Total Return fund has achieved 0.25% total return compared to the benchmark, Barclays Capital US Aggregate Bond TR, which has achieved 5.26% over the same period.",https://citywire.com/selector/news/bill-gross-admits-mea-culpa-over-total-return-underperformance/a533282,4
2012-08-23,a613216,US equity star Holliman defends underperformance,Sustained underperformance,Displacement opportunity,CityWire,Chris Sloley,The Polar Capital manager refuses to change his approach due to valuation concerns.,"Euro Stars A-rated manager Andrew Holliman has pinned his fund's recent underperformance on its lack of exposure to defensive sectors but stands firm on his current allocation as he believes these are just short-term expensive bets.
Holliman, who runs the Polar Capital North American Fund, used his latest market commentary to explain to investors why his fund currently lags the S&P 500 benchmark.
Since launching the $284 million Polar Capital North American fund in November 2011, Holliman and co-manager Richard Wilson have returned 10.3% in US dollar terms while the fund's Citywire benchmark, the S&P 500, rose 12.1%.
'In July, the best performing sectors were telecoms, energy, consumer staples and utilities. With the exception of energy, the leading sectors were all defensive in nature, and all other cyclical sectors underperformed the index,' said Holliman, who joined Polar Capital from Threadneedle in May last year.
'Given the aforementioned strength in telecoms and utilities, the fund suffered as a result of not having exposure to these sectors, where valuations have become even more stretched. As a result, we are not minded to add exposure here.'
On a sector-by-sector basis, Holliman's preference for cyclical over defensive names has seen him mainly invest in consumer discretionary stocks, where he has a 9% overweight compared to the MSCI North American Index, and IT, where he has a 5% overweight.
Conversely he has zero exposure in telecoms, utilities and materials, while running a 10.6% underweight in energy.
In terms of stock rotation, Holliman insists he is not sitting still. Over July, he replaced three stocks in the 50 stock portfolio, selling out of positions in clinical laboratory firm LabCorp, private equity firm Blackstone Group and railroad owner and operator CSX.
These were sold to make way for new positions in banking and payments specialist Fidelity Information Systems, telecommunications firm Comcast and toymaker Mattel.
'Although some traditionally defensive areas of the market such as utilities, consumer staples and telecoms are becoming expensive it is still possible to find very good value in attractive franchises that should be able to expand return on capital and deliver attractive business value creation even if the global economy continues to slow.'
The new additions to the fund are relatively minor positions, with Holliman's major holdings being in Apple (5.4%), Comcast's parent company Time Warner (3.5%), Microsoft and Pfizer (both 3.1%).",https://citywire.com/selector/news/us-equity-star-holliman-defends-underperformance/a613216,5
2013-07-18,a692321,Aberdeen's Kaloo defends 'unusual' underperformance,Sustained underperformance,Displacement opportunity,CityWire,Chris Sloley,Emerging markets star counts the cost of Turkish and Brazilian bets in $12bn GEM strategy.,"Significant overweights to Turkey and Brazil have led to the recent underperformance of Aberdeens's $12 billion emerging market equity fund, according to its lead manager Devan Kaloo.
On an investor conference call, Kaloo, who heads up a team responsible for a total of 13 emerging market strategies, said he felt compelled to explain an 'unusual' period of underperformance for the fund.
Kaloo said the fund, which was soft-closed earlier this year, was lagging its benchmark by around one percentage point over the past three months, having lost 8.65% over this period.
However, the Euro Stars AA-rated fund manager has said he has made no major changes to the Aberdeen Global - Emerging Markets Equity fund and, in fact, topped up holdings in two Turkish banks.
Explaining the fund's current positioning, Kaloo highlighted two issues:
'We have had more money, or we have been overweight, in the countries which have seen the biggest sell-off in their currencies, so places like Brazil and Turkey,' he said.
'On the flipside to that, we have been underweight to the countries which have controlled currencies or fixed currencies, such as China and Taiwan. So certainly currency weakness has been a major issue for us and has fed through to weaker performance.'
In addition, Kaloo said he had not managed to offset the negative impact of currency weakness with stock selection in the 65-stock portfolio.
'Here there are a couple of issues, firstly many of the stocks that did very well for us in the first quarter and at the end of 2012, sold off very sharply as people took profits or sold down positions that had done well.'
Financials stocks, which make up 35% of his fund, had been particularly hard hit, Kaloo said.
For example, his holdings in Mexican firm Banorte (2.3%), Brazilian financials firm Bradesco (3.3%) and Turkish bank Akbank (2.1%) were among his poorest performing stocks.
However, Kaloo said the recent underperformance would not force him to make major changes to the portfolio.
'What have we been doing? Not a lot. We have been topping up positions where value has appeared,' Kaloo said. 'We added to our Turkish banks after the protests and the big sell offs.'
This has seen him add to positions in Garanti Bank and Akbank, while also topping up positions in Korean convenience store E-Mart and Russian supermarket chain Magnit.
Kaloo said he had not opted to make any significant position reductions in the fund but had funded these top ups by trimming various holdings.
The Aberdeen Global - Emerging Markets Equity fund has returned 27.31% in the three years to the end of June 2013. This compares to an 11.57% rise by its Citywire benchmark, the MSCI EM (Emerging Markets) TR USD.",https://citywire.com/selector/news/aberdeen-s-kaloo-defends-unusual-underperformance/a692321,2
2018-10-15,a317645,Bluebay sees assets fall 2.3% in deteriorating market conditions,Drop in AUM,Displacement opportunity,CityWire,Sara Smith,"Fixed income specialist, Bluebay Asset Management, has reported a 2.3% drop in assets under management during the three months to the end of September.","Fixed income specialist, Bluebay Asset Management, has reported a 2.3% drop in assets under management (AUM) during the three months to the end of September.
According to the firm's interim statement healthy inflows were seen during the period, with net subscriptions reaching $1.9 billion (PS1.08 billion) but this was largely offset by $1.3 billion of fund depreciation. This left AUM at $20.5 billion at the end of September, down from $21 billion on 30 June 2008.
Assets in long/short funds were hit hardest, falling from $15.8 billion in June to $15.4 billion in September, while assets in long-only funds were marginally more resilient remaining at 15.1% over the period.
Performance fees for the period stood at $4.9 million.
Bluebay's chief executive, Hugh Willis, put the quarter's losses down to deteriorating market conditions which offset the strong net inflows from institutional investors over the quarter.
He expects extreme market conditions in September and October to date to disrupt net inflows to the asset management industry in the short term and to continue to make it challenging to generate performance fees.
He said: 'Against this, it is probable that such extreme conditions will have the effect of accelerating the point at which the credit cycle turns. While recognising the challenges that will continue to exist in the short term, we remain focused on ensuring that we are well positioned for the exceptional cyclical opportunity in credit markets, which we believe will begin during the course of this financial year.'
Despite the contraction of AUM, Bluebay was up 2.5% at 177p.",https://citywire.com/funds-insider/news/bluebay-sees-assets-fall-2-3-in-deteriorating-market-conditions/a317645,0
2018-10-17,a1166147,AAA-rated China PM: what drove my Q3 downturn,Sustained underperformance,Displacement opportunity,CityWire,Sam Benstead,"Tiffany Hsiao explains why government policy, not the trade war, is to blame for recent struggles.","Tiffany Hsiao has pinned recent underperformance on policy missteps by the Chinese government.
Hsiao saw Matthews Asia China Small Companies fund drop into the bottom five of the 149-strong Equity - Greater China sector for its three month returns to the end of September 2018.
Hsiao told Citywire Selector: 'Our underperformance in the last quarter was not to do with the global external environment, but instead because of mistakes that were committed by the Chinese government.
'In the consumer area they started policies on how many hours a day your children are allowed to play video games, as well as what type of video games. Also they introduced policies on how many hours a week children can go to after-school tutoring and put a cap on what cremation services can charge.'
Government micromanagement has caused stocks in educational provider sectors to plummet, with some companies loosing half their value, according to Hsiao.
However, Hsiao does not think that this government attitude will be permanent. 'At the end of the day the Chinese government needs to learn that it can make good policies on money.
'But, it's very hard to make good policy on human beings. They will learn that overtime,' she said.
Enforcing these policies will also be challenging, as Hsiao learned on a recent trip to Shanghai. She said the impact on company performance will be muted.
'I just came back from Shanghai two weeks ago and I visited a lot of these companies and there is absolutely no impact. Math is now called ""logical thinking"", Chinese is now called ""debate class"" and English is now called ""theatre"". They just changed the titles of the courses,' she said.
'There is damage being done on the stock price because before the industries were growing rapidly and had very little policy risk, and now there is the fear that the government may intervene. I think over time people will realise that the actual impact is very minimal.'
The Matthews Asia China Small Companies has returned 52.6% in the last three years to 30 September 2018 and is ranked 27 out 138 in the Greater China equities benchmark over this time period.",https://citywire.com/selector/news/aaa-rated-china-manager-reveals-what-drove-q3-underperformance/a1166147,2
2019-10-21,a1283778,Hargreaves drops Sanditon from Wealth 50 as fund group to close,Liquidation of a fund,Displacement opportunity,CityWire,Dylan Lobo and Daniel Grote,Hargreaves Lansdown drops Sanditon European from Wealth 50 buy list as fund group announces closure.,"Hargreaves Lansdown (HRGV) has dropped the Sanditon European fund from its Wealth 50 buy list ahead of the fund group's closure.
Value-focused investment group Sanditon Asset Management is to shut down less than six years after launch, having struggled to attract investors to its funds.
The PS306 million Sanditon European fund, the group's largest, is to transfer to rival fund group Crux Asset Management.
Management of the fund will switch from Sanditon founders Chris Rice and Tim Russell to Crux founder Richard Pease and James Milne. The fund will be rebranded Crux European Opportunities.
Hargreaves said it was dropping the fund from the Wealth 50, which already features Pease's PS1.7 billion Crux European Special Situations fund.
'We feel it's prudent to remove the fund from the Wealth 50,' said senior investment analyst Kate Marshall.
'Pease also currently runs another fund on the Wealth 50 and we don't feel both funds are needed on the list.'
Julie Dean's PS22 million Sanditon UK Select fund will also transfer to Cruc, with Jamie Ward handed the reins and the fund rebranded as Crux UK Opportunities.
The fund group's PS40 million Sanditon Investment Trust (SIT) is set to wind up, with Sanditon Asset Management directors, who hold 22% of the shares, having indicated they will vote against continuation at the next annual general meeting.
Sanditon said it would make alternative arrangements for the PS111 million Sanditon European Select and PS25 million Sanditon UK Select funds.
Sanditon's value-focused approach has struggled since the fund group's launch.
The group's Sanditon European fund has returned 53% over five years, placing it in the bottom half of the Investment Association's Europe excluding UK sector. The European Select fund is down 11% over the same period, kept off the bottom of the Targeted Absolute Return fund only by the Merian UK Opportunities fund.
Over three years, the Sanditon UK fund is up 3.5% and the UK Select fund has fallen 8%, with both towards the bottom of their respective UK All Companies and Targeted Absolute Return Sectors.
Shares in Sanditon Investment Trust have traded below their 2014 launch price of 100p for the last two years, though they jumped from 81p to 86p on news of the wind-up.
Sanditon chief executive Rupert Tyer said he was frustrated by the decision to close the business.
'While we are profitable as a business and have PS500 million in assets under management, we were unable to convince investors to invest in uncorrelated investment strategies that would benefit portfolios. If you look at fund flows in the industry, they are pretty concentrated,' he said.
'Once the board of Sanditon had made the decision that they were unlikely to grow profitably over the next few years, our sole focus was to find an efficient and timely solution to ensure that investors were not disadvantaged in any way.'
Crux director Mark Little said the transfer of the two Sanditon funds was a 'sound solution for investors'.
'The Crux European and UK investment teams have a demonstrable long-term track record of delivering excellent returns for investors,' he said.
Tutman, administrator of the funds, said : 'Our focus has been on achieving a good outcome for our investors, and we are pleased to effect a no-cost, seamless transition from one management group to another. Both firms have identical target markets, similar styles and culture.'",https://citywire.com/funds-insider/news/hargreaves-drops-sanditon-from-wealth-50-as-fund-group-to-close/a1283778,14
