ID,NOTA_WSW,NOTA_TK,RANK
2001-01,anuncio informe programa monetario directorio banco central acordo primer viernes cada mes conocer rango saldo promedio diario cuentas corrientes empresas bancarias mantienen banco central mes utilizado guiar operaciones monetarias lapso,como se anuncio en el informe del programa monetario para el [DATE] el directorio del banco central acordo que el primer viernes de cada mes se de a conocer el rango para el saldo promedio diario de las cuentas corrientes que las empresas bancarias mantienen en el banco central para el mes el que es utilizado para guiar las operaciones monetarias durante ese lapso,1
2001-01,adicionalmente anunciara tasas interes creditos regulacion monetaria depositos overnight empresas bancarias banco central mantendran mes,adicionalmente se anunciara las tasas de interes de los creditos de regulacion monetaria y de los depositos overnight de las empresas bancarias en el banco central que se mantendran durante el mes,2
2001-01,rango refiere parrafo anterior ubicara promedio diario,para [DATE] el rango al que se refiere el parrafo anterior se ubicara entre [NUM] y [NUM] como promedio diario,3
2001-01,asimismo directorio banco central acordo operaciones moneda nacional realice banco mes aplicara siguientes tasas interes comision,asimismo el directorio del banco central acordo que para las operaciones en moneda nacional que realice este banco durante el mes se aplicara las siguientes tasas de interes y comision,4
2001-01,creditos regulacion monetaria moneda nacional tasa interes efectiva sera mas alta promedio decil superior tasas interbancarias nivel,para los creditos de regulacion monetaria en moneda nacional la tasa de interes efectiva sera la mas alta entre el promedio del decil superior de las tasas interbancarias y el nivel de [NUM],5
2001-01,ultima tasa mantiene ultimo fecha reducida nivel,esta ultima tasa se mantiene desde el [DATE] ultimo fecha en que fue reducida desde un nivel de [NUM],6
2001-01,depositos overnight moneda nacional empresas bancarias banco central tasa interes efectiva sera,para los depositos overnight en moneda nacional de las empresas bancarias en el banco central la tasa de interes efectiva sera de [NUM],7
2001-01,tasa equivalente promedio banco central obtiene exterior depositos overnight aproximadamente enero,hasta el [DATE] esta tasa fue equivalente al promedio que el banco central obtiene en el exterior por sus depositos overnight aproximadamente [NUM] en enero,8
2001-01,operaciones compra temporal moneda extranjera swap comision sera dia equivale costo efectivo anual,por las operaciones de compra temporal de moneda extranjera swap la comision sera de [NUM] por dia lo que equivale a un costo efectivo anual de [NUM],9
2001-01,costo mantiene ultimo fecha reducido nivel,este costo se mantiene desde el [DATE] ultimo fecha en que fue reducido desde un nivel de [NUM],10
2001-01,caso operaciones moneda extranjera aplicara siguientes tasas interes,en el caso de las operaciones en moneda extranjera se aplicara las siguientes tasas de interes,11
2001-01,tasa mantiene fecha reducida nivel,esta tasa se mantiene desde el [DATE] fecha en que fue reducida desde un nivel de [NUM],12
2001-01,depositos overnight empresas bancarias banco central mantiene tasa equivalente promedio ultimo obtiene exterior depositos misma naturaleza,para los depositos overnight de las empresas bancarias en el banco central se mantiene en una tasa equivalente al promedio que este ultimo obtiene en el exterior por sus depositos de la misma naturaleza,13
2001-02,banco central nota informativa modificacion meta operativa mes banco central reduce meta liquidez bancaria rango promedio diario,banco central nota informativa sobre modificacion de la meta operativa [DATE] para el mes de [DATE] el banco central reduce la meta de liquidez bancaria al rango de [NUM] y [NUM] como promedio diario,1
